Day Month Year MinTemp MaxTemp Precipitation ReferenceET
24 11 2023 15.6 29.3 0.0 6.24
25 11 2023 15.5 27.6 0.0 5.85
26 11 2023 15.9 30.0 0.0 5.9
27 11 2023 18.4 32.0 0.0 6.06
28 11 2023 21.1 31.9 0.0 5.73
29 11 2023 20.2 30.7 0.0 4.43
30 11 2023 20.0 31.7 0.0 4.75
1 12 2023 21.2 36.1 34.6 4.28
2 12 2023 20.8 27.1 0.0 2.88
3 12 2023 14.8 21.4 16.4 1.06
4 12 2023 13.4 24.4 0.0 6.12
5 12 2023 15.3 24.8 0.0 3.51
6 12 2023 20.7 24.3 39.0 1.45
7 12 2023 17.4 25.2 0.0 2.98
8 12 2023 13.6 27.3 0.0 5.6
9 12 2023 14.8 27.1 0.0 5.68
10 12 2023 15.9 28.8 0.0 5.63
11 12 2023 17.3 29.3 0.0 5.98
12 12 2023 19.3 32.7 0.0 3.94
13 12 2023 20.8 24.3 52.6 1.31
14 12 2023 19.3 26.3 0.2 2.36
15 12 2023 21.6 23.5 33.8 0.74
16 12 2023 20.1 30.5 0.0 3.88
17 12 2023 19.3 28.2 34.2 2.55
18 12 2023 15.7 22.3 100.6 1.23
19 12 2023 14.2 22.7 0.6 4.11
20 12 2023 14.8 21.8 0.0 2.36
21 12 2023 19.3 28.0 0.0 3.49
22 12 2023 16.3 30.7 0.0 5.47
23 12 2023 19.9 32.6 0.0 5.74
24 12 2023 20.9 32.1 0.0 4.39
25 12 2023 19.1 28.2 0.0 6.7
26 12 2023 13.0 27.7 0.0 6.12
27 12 2023 15.0 29.7 0.0 6.6
28 12 2023 18.7 34.3 0.0 5.96
29 12 2023 18.7 33.3 0.0 6.25
30 12 2023 12.8 26.7 0.0 6.08
31 12 2023 14.8 27.6 0.0 5.41
1 1 2024 18.1 28.9 0.0 3.05
2 1 2024 18.2 31.3 0.0 6.88
3 1 2024 18.4 29.7 0.0 6.9
4 1 2024 19.7 31.1 0.0 7.74
5 1 2024 19.9 31.4 0.0 7.15
6 1 2024 20.9 31.2 0.0 7.47
7 1 2024 22.3 31.3 0.0 7.89
8 1 2024 19.3 33.1 0.0 7.24
9 1 2024 20.7 32.2 0.0 6.99
10 1 2024 21.8 28.7 0.0 6.44
11 1 2024 21.2 33.2 0.6 4.71
12 1 2024 15.0 31.1 0.0 5.8
13 1 2024 18.6 33.2 0.0 5.21
14 1 2024 20.0 31.0 1.0 6.46
15 1 2024 15.8 34.6 0.0 6.53
16 1 2024 16.7 24.3 88.6 6.8
17 1 2024 17.7 25.6 0.2 6.4
18 1 2024 20.3 29.1 0.0 5.5
19 1 2024 21.0 31.3 0.0 6.68
20 1 2024 15.0 29.1 0.2 6.5
21 1 2024 16.0 28.8 0.0 3.26
22 1 2024 15.4 29.0 0.0 6.24
23 1 2024 16.0 28.9 0.0 6.33
24 1 2024 17.7 29.6 0.0 5.26
25 1 2024 18.1 30.0 0.0 4.79
26 1 2024 17.8 30.4 0.0 5.09
27 1 2024 18.8 29.9 0.0 2.31
28 1 2024 18.0 30.6 0.0 5.05
29 1 2024 19.9 32.2 0.0 5.52
30 1 2024 20.6 34.4 0.0 5.98
31 1 2024 21.3 35.3 0.0 5.24
1 2 2024 21.7 37.1 0.0 5.92
2 2 2024 21.2 35.9 0.0 5.72
3 2 2024 22.1 37.3 0.0 5.24
4 2 2024 22.3 33.3 0.0 5.16
5 2 2024 22.3 36.7 0.0 5.63
6 2 2024 24.4 37.4 0.0 5.64
7 2 2024 24.2 38.3 0.0 5.83
8 2 2024 25.1 39.2 0.0 5.69
9 2 2024 24.1 37.3 15.6 4.6
10 2 2024 23.5 30.0 25.2 3.78
11 2 2024 23.6 33.9 0.2 4.53
12 2 2024 21.3 30.9 24.6 1.98
13 2 2024 15.5 23.5 0.0 3.86
14 2 2024 12.3 25.5 0.0 4.45
15 2 2024 17.3 27.4 0.0 3.99
16 2 2024 19.0 29.4 0.0 3.74
17 2 2024 17.7 27.8 0.0 3.37
18 2 2024 21.4 30.1 0.0 3.22
19 2 2024 20.9 30.2 0.0 3.52
20 2 2024 20.7 31.3 0.0 4.42
21 2 2024 20.2 30.8 0.0 4.79
22 2 2024 20.1 31.7 0.0 4.45
23 2 2024 20.4 28.7 0.0 3.43
24 2 2024 20.3 29.0 0.0 3.5
25 2 2024 20.3 23.7 5.6 0.87
26 2 2024 21.1 24.2 43.2 1.18
27 2 2024 21.4 25.7 0.0 1.68
28 2 2024 20.0 29.7 0.2 3.48
29 2 2024 21.1 31.3 0.2 3.89
1 3 2024 21.4 31.9 0.2 3.91
2 3 2024 21.7 32.8 39.0 3.7
3 3 2024 16.4 23.7 0.4 2.8
4 3 2024 13.3 25.1 0.0 3.92
5 3 2024 12.3 26.7 0.0 4.34
6 3 2024 12.7 26.9 0.0 4.32
7 3 2024 15.7 30.3 0.0 4.31
8 3 2024 19.1 32.5 0.0 3.64
9 3 2024 20.3 27.9 13.6 2.55
10 3 2024 19.2 30.1 0.2 3.98
11 3 2024 20.7 27.6 7.0 1.1
12 3 2024 21.1 34.1 2.2 3.55
13 3 2024 22.6 26.9 31.0 1.84
14 3 2024 20.1 26.7 137.0 0.52
15 3 2024 20.0 22.8 12.0 0.81
16 3 2024 20.2 22.9 32.4 1.1
17 3 2024 20.9 26.3 0.0 2.84
18 3 2024 21.3 29.2 8.8 2.13
19 3 2024 21.8 29.9 0.0 2.82
20 3 2024 21.3 32.1 34.8 2.69
21 3 2024 13.0 21.9 1.2 3.19
22 3 2024 10.1 21.7 0.2 3.46
23 3 2024 12.1 26.2 0.0 3.87
24 3 2024 16.3 28.6 0.0 3.48
25 3 2024 16.9 28.8 0.2 4.13
26 3 2024 16.3 27.1 0.0 2.97
27 3 2024 15.0 26.9 0.0 3.83
28 3 2024 15.7 27.4 0.0 3.66
29 3 2024 15.5 28.1 0.0 3.53
30 3 2024 16.1 31.7 0.2 3.92
31 3 2024 17.7 22.9 21.4 0.99
1 4 2024 13.3 17.3 20.6 0.74
2 4 2024 10.8 21.4 0.2 2.64
3 4 2024 16.1 19.7 55.0 0.38
4 4 2024 14.9 22.7 0.2 2.84
5 4 2024 11.1 25.7 0.2 3.28
6 4 2024 13.6 22.1 0.2 1.88
7 4 2024 16.1 24.8 0.0 3.08
8 4 2024 16.3 24.4 0.2 2.08
9 4 2024 18.7 25.9 0.0 2.0
10 4 2024 13.1 20.8 0.0 1.99
11 4 2024 9.9 21.3 0.0 3.37
12 4 2024 12.2 22.6 6.0 2.05
13 4 2024 16.8 21.2 15.4 0.85
14 4 2024 19.8 22.9 12.4 0.7
15 4 2024 18.9 24.8 73.0 1.13
16 4 2024 13.9 19.1 1.4 1.15
17 4 2024 11.7 24.2 0.2 2.95
18 4 2024 13.9 25.3 0.0 2.92
19 4 2024 13.2 26.5 0.2 3.35
20 4 2024 14.0 27.3 0.0 3.4
21 4 2024 17.8 27.4 9.8 2.54
22 4 2024 18.8 24.4 0.4 1.46
23 4 2024 14.7 22.1 1.6 1.16
24 4 2024 9.2 19.7 0.2 2.06
25 4 2024 11.2 23.9 0.0 2.41
26 4 2024 19.2 22.8 28.8 0.86
27 4 2024 10.1 19.4 0.0 1.96
28 4 2024 6.9 20.4 0.0 2.96
29 4 2024 13.7 18.1 34.4 0.81
30 4 2024 17.8 24.6 0.0 0.86
1 5 2024 14.6 20.3 1.2 1.01
2 5 2024 8.8 16.3 19.0 2.04
3 5 2024 5.4 15.7 0.2 1.51
4 5 2024 9.5 19.6 0.0 1.32
5 5 2024 17.7 20.7 0.4 0.73
6 5 2024 19.0 20.9 95.2 0.42
7 5 2024 19.3 23.6 5.6 1.3
8 5 2024 10.2 20.8 35.6 1.38
9 5 2024 5.8 15.5 0.0 1.58
10 5 2024 8.5 17.9 0.0 1.56
11 5 2024 10.8 16.7 0.2 0.98
12 5 2024 11.0 13.8 5.8 0.83
13 5 2024 6.7 13.2 0.0 1.59
14 5 2024 4.6 13.3 0.2 1.26
15 5 2024 2.6 15.4 0.2 1.7
16 5 2024 5.8 16.1 0.0 1.93
17 5 2024 6.7 14.5 0.0 1.76
18 5 2024 4.1 14.6 0.2 1.71
19 5 2024 3.9 14.8 0.4 1.75
20 5 2024 5.6 17.2 0.0 2.3
21 5 2024 7.9 13.7 0.0 0.36
22 5 2024 11.7 12.9 13.4 0.27
23 5 2024 9.6 13.5 18.4 0.23
24 5 2024 7.2 10.8 5.6 1.52
25 5 2024 2.7 10.2 0.0 1.15
26 5 2024 2.7 10.4 0.0 1.1
27 5 2024 6.5 11.0 0.2 1.29
28 5 2024 9.4 16.3 0.2 1.45
